Representation,MAE,MSE,RMSE,R2,MAPE (%)
Without Province + District,1.3963944759355518,3.1225801593773292,1.7670823861318208,0.3531381271266375,31.139083285157948
With Province + District,1.047520816977496,1.9424229708371599,1.3937083521444362,0.5976150181270223,21.987073463730475
