Model,MAE,MSE,RMSE,R2,MAPE (%)
Random Forest,1.047520816977496,1.9424229708371599,1.3937083521444362,0.5976150181270223,21.987073463730475
Extra Trees,1.155786743377843,2.2102394002902614,1.486687391582461,0.5421351814855074,24.575734088950902
Decision Tree,1.2141225913385607,2.681858480381284,1.6376380797909178,0.4444363600431379,25.173432265060114
Linear Regression,1.574687482918364,3.715792871434051,1.9276391963835067,0.23025042966243003,35.8366221783601
Ridge Regression,1.5758980920451053,3.720487014362653,1.9288564006588602,0.2292780088016838,35.87815020493238
Baseline Mean,1.83436653972539,4.827294775597199,2.1971105515192444,-4.092793978394127e-06,43.73229314047844
