n_estimators,MAE,MSE,RMSE,R2,MAPE (%)
10,1.0816092904592987,2.0664556053829073,1.4375171669872007,0.5719208875732439,22.678982869272307
30,1.0532235841223412,1.9640077700510377,1.4014306154965495,0.5931435929169587,22.078962114722607
50,1.047520816977496,1.9424229708371599,1.3937083521444362,0.5976150181270223,21.987073463730475
